Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2024-04-01,422.1979675,424.5700073,427.8900146,422.2200012,423.9500122,16316000,MSFT
2024-04-02,419.0854797,421.4400024,422.3800049,417.8399963,420.1099854,17912000,MSFT
2024-04-03,418.1010132,420.4500122,423.2600098,419.0899963,419.730011,16502300,MSFT
2024-04-04,415.5453491,417.8800049,428.6700134,417.5700073,424.9899902,19370900,MSFT
2024-04-05,423.1426697,425.519989,426.5100098,418.3200073,420.0100098,16544300,MSFT
2024-04-08,422.217865,424.5899963,427.2799988,423.2999878,425.1700134,14272400,MSFT
2024-04-09,423.8984375,426.2799988,427.7399902,421.6199951,426.4400024,12512300,MSFT
2024-04-10,420.8953247,423.2600098,424.0299988,419.7000122,422.1900024,16216600,MSFT
2024-04-11,425.5392151,427.9299927,429.3699951,422.3599854,425.8200073,17966400,MSFT
2024-04-12,419.5429077,421.8999939,425.1799927,419.769989,424.0499878,19232100,MSFT
2024-04-15,411.3291016,413.6400146,426.8200073,413.4299927,426.6000061,20273500,MSFT
2024-04-16,412.2637634,414.5799866,418.3999939,413.730011,414.5700073,16765600,MSFT
2024-04-17,409.5390625,411.8399963,418.8800049,410.3299866,417.25,15855500,MSFT
2024-04-18,402.0113831,404.269989,411.8900146,403.9500122,410.6300049,21029900,MSFT
2024-04-19,396.8901672,399.1199951,405.480011,397.769989,404.0299988,30276500,MSFT
2024-04-22,398.7199097,400.9599915,402.8500061,395.75,400.0799866,20286900,MSFT
2024-04-23,405.2929688,407.5700073,408.2000122,403.0599976,404.2399902,15734500,MSFT
2024-04-24,406.7746277,409.0599976,412.4700012,406.7799988,409.5599976,15065300,MSFT
2024-04-25,396.8106384,399.0400085,399.8900146,388.0299988,394.0299988,40586500,MSFT
2024-04-26,404.0499573,406.3200073,413,405.7600098,412.1700134,29694700,MSFT
2024-04-29,400.0026855,402.25,406.3200073,399.1900024,405.25,19582100,MSFT
2024-04-30,387.1548462,389.3299866,402.1600037,389.1700134,401.4899902,28781400,MSFT
2024-05-01,392.733551,394.9400024,401.7200012,390.3099976,392.6099854,23562500,MSFT
2024-05-02,395.6173096,397.8399963,399.9299927,394.6499939,397.6600037,17709400,MSFT
2024-05-03,404.388031,406.6600037,407.1499939,401.8599854,402.2799988,17446700,MSFT
2024-05-06,411.2295837,413.5400085,413.9299927,406.3699951,408.7600098,16996600,MSFT
2024-05-07,407.0530701,409.3399963,414.6700134,409.0899963,414.6600037,20018200,MSFT
2024-05-08,408.2463684,410.5400085,412.230011,406.7099915,408.1700134,11792300,MSFT
2024-05-09,410.0164185,412.3200073,412.7200012,409.1000061,410.5700073,14689700,MSFT
2024-04-01,169.4169769,170.0299988,171.25,169.4799957,171.1900024,46240500,AAPL
2024-04-02,168.2312775,168.8399963,169.3399963,168.2299957,169.0800018,49329500,AAPL
2024-04-03,169.0383453,169.6499939,170.6799927,168.5800018,168.7899933,47691700,AAPL
2024-04-04,168.2113495,168.8200073,171.9199982,168.8200073,170.2899933,53704400,AAPL
2024-04-05,168.9686127,169.5800018,170.3899994,168.9499969,169.5899963,42055200,AAPL
2024-04-08,167.8426819,168.4499969,169.1999969,168.2400055,169.0299988,37425500,AAPL
2024-04-09,169.0582886,169.6699982,170.0800018,168.3500061,168.6999969,42451200,AAPL
2024-04-10,167.1751099,167.7799988,169.0899963,167.1100006,168.8000031,49709300,AAPL
2024-04-11,174.4089203,175.0399933,175.4600067,168.1600037,168.3399963,91070300,AAPL
2024-04-12,175.9134827,176.5500031,178.3600006,174.2100067,174.2599945,101593300,AAPL
2024-04-15,172.0673828,172.6900024,176.6300049,172.5,175.3600006,73531800,AAPL
2024-04-16,168.7693481,169.3800049,173.7599945,168.2700043,171.75,73711200,AAPL
2024-04-17,167.3943024,168,170.6499939,168,169.6100006,50901200,AAPL
2024-04-18,166.4377441,167.0399933,168.6399994,166.5500031,168.0299988,43122900,AAPL
2024-04-19,164.4051208,165,166.3999939,164.0800018,166.2100067,67772100,AAPL
2024-04-22,165.2420959,165.8399963,167.2599945,164.7700043,165.5200043,48116400,AAPL
2024-04-23,166.2982635,166.8999939,167.0500031,164.9199982,165.3500061,49537800,AAPL
2024-04-24,168.4106445,169.0200043,169.3000031,166.2100067,166.5399933,48251800,AAPL
2024-04-25,169.2774963,169.8899994,170.6100006,168.1499939,169.5299988,50558300,AAPL
2024-04-26,168.689621,169.3000031,171.3399963,169.1799927,169.8800049,44838400,AAPL
2024-04-29,172.8744659,173.5,176.0299988,173.1000061,173.3699951,68169400,AAPL
2024-04-30,169.7159119,170.3300018,174.9900055,170,173.3300018,65934800,AAPL
2024-05-01,168.689621,169.3000031,172.7100067,169.1100006,169.5800018,50383100,AAPL
2024-05-02,172.4061737,173.0299988,173.4199982,170.8899994,172.5099945,94214900,AAPL
2024-05-03,182.7188416,183.3800049,187,182.6600037,186.6499939,163224100,AAPL
2024-05-06,181.0548859,181.7100067,184.1999969,180.4199982,182.3500061,78569700,AAPL
2024-05-07,181.7423859,182.3999939,184.8999939,181.3200073,183.4499969,77305800,AAPL
2024-05-08,182.0811615,182.7400055,183.0700073,181.4499969,182.8500061,45057100,AAPL
2024-05-09,183.9045868,184.5700073,184.6600037,182.1100006,182.5599976,48983000,AAPL